p,a00,a01,a02,a03,a10,a11,a12,a13,a20,a21,a22,a23,a30,a31,a32,a33,CM,q
541,1/2,0,1/2,5/2,0,1/16,7/8,45/16,0,0,1,1,0,0,0,4,CM,
541,1/2,0,3/2,3/2,0,1/24,11/12,7/8,0,0,3,1,0,0,0,2,CM,
541,1/2,0,3/2,3/2,0,1/24,7/12,15/8,0,0,3,1,0,0,0,2,CM,
541,1/2,0,1/2,17/2,0,1/40,7/20,29/40,0,0,1,7,0,0,0,10,CM,
541,1/2,0,1/2,13/2,0,1/40,3/20,389/40,0,0,1,3,0,0,0,10,CM,
541,1/2,0,1/2,5/2,0,1/40,3/4,333/40,0,0,1,5,0,0,0,10,CM,
541,1/2,0,1/2,25/2,0,1/56,23/28,605/56,0,0,1,11,0,0,0,14,CM,
541,1/2,0,1/2,1/2,0,1/88,19/44,1653/88,0,0,1,1,0,0,0,22,CM,
547,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
547,1/2,0,1/2,1,0,1/4,1/2,7/4,0,0,1,0,0,0,0,2,CM,
547,1/2,0,1/2,2,0,1/6,1/3,1/6,0,0,1,1,0,0,0,3,CM,
547,1/2,0,1/2,3,0,1/10,2/5,1/10,0,0,1,1,0,0,0,5,CM,
547,1/2,0,1/2,5,0,1/14,6/7,3/14,0,0,1,3,0,0,0,7,CM,
547,1/2,0,1/2,1,0,1/14,2/7,75/14,0,0,1,2,0,0,0,7,CM,
547,1/2,0,11/2,0,0,1/2,54/11,1/2,0,0,11,0,0,0,0,1,CM,
547,1/2,0,1/2,10,0,1/2,5/11,203/22,0,0,1,9,0,0,0,11,CM,
547,1/2,0,1/2,0,0,1/2,0,13/22,0,0,1,0,0,0,0,11,CM,
547,1/2,0,1/2,8,0,1/2,8/11,43/22,0,0,1,5,0,0,0,11,CM,
547,1/2,0,1/2,1,0,1/8,1/4,7/8,0,0,1,2,0,0,0,4,CM,
547,1/2,0,1/2,1,0,1/12,5/6,7/12,0,0,1,2,0,0,0,6,CM,
547,1/2,0,1/2,1,0,1/12,1/6,71/12,0,0,1,2,0,0,0,6,CM,
547,1/2,0,1/2,3,0,1/20,7/10,111/20,0,0,1,6,0,0,0,10,CM,
547,1/2,0,1/2,3,0,1/20,3/10,159/20,0,0,1,6,0,0,0,10,CM,
547,1/2,0,1/2,9,0,1/28,1/14,255/28,0,0,1,4,0,0,0,14,CM,
547,1/2,0,1/2,1,0,1/28,5/14,247/28,0,0,1,2,0,0,0,14,CM,
547,1/2,0,1/2,13,0,1/28,5/14,47/28,0,0,1,12,0,0,0,14,CM,
547,1/2,0,1/2,11,0,1/44,1/2,471/44,0,0,1,0,0,0,0,22,CM,
547,1/2,0,1/2,21,0,1/44,17/22,919/44,0,0,1,20,0,0,0,22,CM,
547,1/2,0,1/2,11,0,1/44,1/2,255/44,0,0,1,0,0,0,0,22,CM,
547,1/2,0,11/2,1,0,1/44,67/22,5/4,0,0,11,0,0,0,0,2,CM,
547,1/2,0,1/2,5,0,1/18,7/9,139/18,0,0,1,1,0,0,0,9,CM,
547,1/2,0,1/2,2,0,1/18,4/9,97/18,0,0,1,4,0,0,0,9,CM,
547,1/2,0,1/2,2,0,1/42,1/21,451/42,0,0,1,4,0,0,0,21,CM,
547,1/2,0,1/2,43,0,1/98,23/49,1139/98,0,0,1,37,0,0,0,49,CM,
557,1,0,0,0,0,1,0,0,1/2,-1/4,0,1/4,-1/2,1/2,-1/2,0,CM,
557,1/2,0,1/2,3/2,0,1/8,1/4,5/8,0,0,1,1,0,0,0,2,CM,
557,1/2,0,1/2,3/2,0,1/12,1/2,1/12,0,0,1,0,0,0,0,3,CM,
557,1/2,0,1/2,3/2,0,1/12,1/2,17/12,0,0,1,0,0,0,0,3,CM,
557,1/2,0,5/2,1/2,0,1/20,29/10,1/4,0,0,5,0,0,0,0,1,CM,
557,1/2,0,1/2,1/2,0,1/20,7/10,53/20,0,0,1,1,0,0,0,5,CM,
557,1/2,0,1/2,9/2,0,1/20,7/10,97/20,0,0,1,4,0,0,0,5,CM,
557,1/2,0,1/2,13/2,0,1/28,5/14,117/28,0,0,1,6,0,0,0,7,CM,
557,1/2,0,1/2,11/2,0,1/28,3/14,1/28,0,0,1,4,0,0,0,7,CM,
557,1/2,0,1/2,13/2,0,1/28,9/14,149/28,0,0,1,6,0,0,0,7,CM,
557,1/2,0,1/2,3/2,0,1/28,3/14,97/28,0,0,1,3,0,0,0,7,CM,
557,1/2,0,1/2,11/2,0,1/44,1/2,93/44,0,0,1,0,0,0,0,11,CM,
557,1/2,0,1/2,1/2,0,1/44,21/22,133/44,0,0,1,1,0,0,0,11,CM,
557,1/2,0,1/2,13/2,0,1/44,7/22,233/44,0,0,1,2,0,0,0,11,CM,
557,1/2,0,1/2,1/2,0,1/44,1/22,153/44,0,0,1,1,0,0,0,11,CM,
557,1/2,0,1/2,11/2,0,1/44,1/2,149/44,0,0,1,0,0,0,0,11,CM,
557,1/2,0,1/2,11/2,0,1/220,7/10,93/220,0,0,1,11,0,0,0,55,CM,
557,1/2,0,1/2,55/2,0,1/308,11/14,13645/308,0,0,1,55,0,0,0,77,CM,
557,1/2,0,1/2,7/2,0,1/16,5/8,13/16,0,0,1,3,0,0,0,4,CM,
557,1/2,0,1/2,3/2,0,1/24,3/4,53/24,0,0,1,3,0,0,0,6,CM,
557,1/2,0,5/2,3/2,0,1/40,21/20,9/8,0,0,5,1,0,0,0,2,CM,
557,1/2,0,1/2,11/2,0,1/40,13/20,237/40,0,0,1,1,0,0,0,10,CM,
557,1/2,0,1/2,11/2,0,1/40,17/20,373/40,0,0,1,1,0,0,0,10,CM,
557,1/2,0,1/2,15/2,0,1/56,5/28,765/56,0,0,1,1,0,0,0,14,CM,
557,1/2,0,1/2,3/2,0,1/56,17/28,181/56,0,0,1,3,0,0,0,14,CM,
557,1/2,0,1/2,3/2,0,1/56,25/28,757/56,0,0,1,3,0,0,0,14,CM,
557,1/2,0,1/2,11/2,0,1/56,25/28,517/56,0,0,1,11,0,0,0,14,CM,
557,1/2,0,1/2,3/2,0,1/36,5/6,217/36,0,0,1,3,0,0,0,9,CM,
563,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
563,1/2,0,1/2,1,0,1/4,1/2,7/4,0,0,1,0,0,0,0,2,CM,
563,1/2,0,1/2,0,0,1/6,0,13/6,0,0,1,0,0,0,0,3,CM,
563,1/2,0,3/2,0,0,1/6,7/3,1/2,0,0,3,0,0,0,0,1,CM,
563,1/2,0,1/2,3,0,1/10,1/5,13/10,0,0,1,1,0,0,0,5,CM,
563,1/2,0,1/2,4,0,1/14,3/7,57/14,0,0,1,1,0,0,0,7,CM,
563,1/2,0,7/2,0,0,1/14,44/7,1/2,0,0,7,0,0,0,0,1,CM,
563,1/2,0,1/2,0,0,1/14,0,59/14,0,0,1,0,0,0,0,7,CM,
563,1/2,0,1/2,10,0,1/22,1/11,23/22,0,0,1,9,0,0,0,11,CM,
563,1/2,0,1/2,3,0,1/22,5/11,79/22,0,0,1,6,0,0,0,11,CM,
563,1/2,0,1/2,0,0,1/22,0,7/22,0,0,1,0,0,0,0,11,CM,
563,1/2,0,11/2,0,0,1/22,64/11,1/2,0,0,11,0,0,0,0,1,CM,
563,1/2,0,1/2,3,0,1/8,3/4,15/8,0,0,1,2,0,0,0,4,CM,
563,1/2,0,1/2,3,0,1/12,1/2,31/12,0,0,1,0,0,0,0,6,CM,
563,1/2,0,3/2,1,0,1/12,11/6,5/4,0,0,3,0,0,0,0,2,CM,
563,1/2,0,1/2,3,0,1/12,1/2,23/12,0,0,1,0,0,0,0,6,CM,
563,1/2,0,1/2,3,0,1/20,1/10,63/20,0,0,1,6,0,0,0,10,CM,
563,1/2,0,1/2,7,0,1/20,1/10,87/20,0,0,1,4,0,0,0,10,CM,
563,1/2,0,1/2,3,0,1/28,3/14,335/28,0,0,1,6,0,0,0,14,CM,
563,1/2,0,1/2,11,0,1/28,3/14,351/28,0,0,1,8,0,0,0,14,CM,
563,1/2,0,1/2,7,0,1/28,1/2,255/28,0,0,1,0,0,0,0,14,CM,
563,1/2,0,1/2,7,0,1/28,1/2,39/28,0,0,1,0,0,0,0,14,CM,
563,1/2,0,1/2,11,0,1/44,1/2,719/44,0,0,1,0,0,0,0,22,CM,
563,1/2,0,1/2,1,0,1/44,21/22,111/44,0,0,1,2,0,0,0,22,CM,
563,1/2,0,1/2,3,0,1/44,17/22,911/44,0,0,1,6,0,0,0,22,CM,
563,1/2,0,1/2,11,0,1/44,1/2,7/44,0,0,1,0,0,0,0,22,CM,
563,1/2,0,1/2,77,0,1/308,1/2,29047/308,0,0,1,0,0,0,0,154,CM,
563,1/2,0,1/2,63,0,1/308,15/22,21991/308,0,0,1,126,0,0,0,154,CM,
563,1/2,0,1/2,3,0,1/18,2/3,103/18,0,0,1,6,0,0,0,9,CM,
563,1/2,0,1/2,0,0,1/18,0,121/18,0,0,1,0,0,0,0,9,CM,
563,1/2,0,1/2,21,0,1/66,7/11,373/66,0,0,1,9,0,0,0,33,CM,
563,1/2,0,33/2,0,0,1/66,790/33,1/2,0,0,33,0,0,0,0,1,CM,
563,1/2,0,1/2,39,0,1/98,17/49,967/98,0,0,1,29,0,0,0,49,CM,
569,1,0,0,0,1/2,1/2,0,0,1/2,1/6,1/2,1/6,-1/2,1/6,0,-1/3,CM,3
569,1/2,0,1/4,5/4,0,1/6,1/4,11/12,0,0,1/2,1/2,0,0,0,2,CM,3
569,1/2,1/18,1/3,14/9,0,1/9,1/6,47/18,0,0,1/2,1/2,0,0,0,3,CM,3
569,1/2,1/30,3/10,37/30,0,1/15,1/10,59/30,0,0,1/2,1/2,0,0,0,5,CM,3
569,1/2,1/30,1/5,14/15,0,1/15,2/5,28/15,0,0,1/2,1/2,0,0,0,5,CM,3
569,1/2,1/42,3/14,247/42,0,1/21,3/7,100/21,0,0,1/2,9/2,0,0,0,7,CM,3
569,1/2,1/66,9/22,127/66,0,1/33,7/22,485/66,0,0,1/2,15/2,0,0,0,11,CM,3
569,1/2,1/66,1/22,199/66,0,1/33,1/11,199/33,0,0,1/2,21/2,0,0,0,11,CM,3
569,1/2,1/66,0,353/33,0,1/33,0,343/33,0,0,1/2,11/2,0,0,0,11,CM,3
569,1/2,0,1/4,13/4,0,1/12,3/8,65/24,0,0,1/2,5/2,0,0,0,4,CM,3
569,1/2,0,1/4,5/4,0,1/18,5/12,191/36,0,0,1/2,5/2,0,0,0,6,CM,3
569,1/2,0,1/4,13/4,0,1/18,1/12,155/36,0,0,1/2,1/2,0,0,0,6,CM,3
569,1/2,0,1/4,5/4,0,1/30,1/4,47/60,0,0,1/2,5/2,0,0,0,10,CM,3
569,1/2,0,1/4,21/4,0,1/30,9/20,371/60,0,0,1/2,1/2,0,0,0,10,CM,3
569,1/2,0,1/4,21/4,0,1/30,1/20,59/60,0,0,1/2,1/2,0,0,0,10,CM,3
569,1/2,0,1/4,5/4,0,1/30,1/4,503/60,0,0,1/2,5/2,0,0,0,10,CM,3
569,1/2,0,7/4,3/4,0,1/42,5/28,17/12,0,0,7/2,3/2,0,0,0,2,CM,3
569,1/2,0,1/4,37/4,0,1/42,1/28,1067/84,0,0,1/2,9/2,0,0,0,14,CM,3
569,1/2,0,7/4,3/4,0,1/42,93/28,17/12,0,0,7/2,3/2,0,0,0,2,CM,3
569,1/2,0,1/4,29/4,0,1/66,15/44,221/132,0,0,1/2,29/2,0,0,0,22,CM,3
569,1/2,0,1/4,21/4,0,1/66,9/44,779/132,0,0,1/2,21/2,0,0,0,22,CM,3
569,1/2,0,1/4,45/4,0,1/66,9/44,1883/132,0,0,1/2,1/2,0,0,0,22,CM,3
569,1/2,0,1/4,45/4,0,1/66,13/44,119/132,0,0,1/2,1/2,0,0,0,22,CM,3
569,1/2,1/54,1/9,230/27,0,1/27,2/9,217/27,0,0,1/2,7/2,0,0,0,9,CM,3
569,1/2,1/90,4/15,401/45,0,1/45,1/30,209/90,0,0,1/2,1/2,0,0,0,15,CM,3
569,1/2,1/90,1/15,14/45,0,1/45,2/15,28/45,0,0,1/2,1/2,0,0,0,15,CM,3
569,1/2,1/198,1/6,1351/198,0,1/99,1/3,1351/99,0,0,1/2,55/2,0,0,0,33,CM,3
569,1/2,1/198,1/6,4699/198,0,1/99,1/3,1432/99,0,0,1/2,55/2,0,0,0,33,CM,3
569,1/2,1/150,3/50,1087/150,0,1/75,3/25,1087/75,0,0,1/2,31/2,0,0,0,25,CM,3
569,1/2,1/150,1/25,914/75,0,1/75,2/25,1828/75,0,0,1/2,41/2,0,0,0,25,CM,3
569,1/2,1/462,31/154,13645/462,0,1/231,31/77,13645/231,0,0,1/2,51/2,0,0,0,77,CM,3
569,1/2,1/726,39/121,23216/363,0,1/363,35/242,45311/726,0,0,1/2,131/2,0,0,0,121,CM,3
571,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
571,1/2,0,1/2,1,0,1/4,1/2,5/4,0,0,1,0,0,0,0,2,CM,
571,1/2,0,1/2,1,0,1/6,1/3,5/6,0,0,1,2,0,0,0,3,CM,
571,1/2,0,1/2,0,0,1/10,0,37/10,0,0,1,0,0,0,0,5,CM,
571,1/2,0,5/2,0,0,1/10,6/5,1/2,0,0,5,0,0,0,0,1,CM,
571,1/2,0,1/2,6,0,1/14,6/7,83/14,0,0,1,5,0,0,0,7,CM,
571,1/2,0,1/2,5,0,1/14,4/7,65/14,0,0,1,3,0,0,0,7,CM,
571,1/2,0,11/2,0,0,1/2,38/11,1/2,0,0,11,0,0,0,0,1,CM,
571,1/2,0,1/2,1,0,1/2,3/11,151/22,0,0,1,2,0,0,0,11,CM,
571,1/2,0,1/2,8,0,1/2,4/11,5/22,0,0,1,5,0,0,0,11,CM,
571,1/2,0,1/2,0,0,1/2,0,45/22,0,0,1,0,0,0,0,11,CM,
571,1/2,0,1/2,3,0,1/8,1/4,29/8,0,0,1,2,0,0,0,4,CM,
571,1/2,0,1/2,5,0,1/12,1/6,13/12,0,0,1,4,0,0,0,6,CM,
571,1/2,0,1/2,5,0,1/12,5/6,53/12,0,0,1,4,0,0,0,6,CM,
571,1/2,0,1/2,5,0,1/20,1/2,37/20,0,0,1,0,0,0,0,10,CM,
571,1/2,0,1/2,5,0,1/20,1/2,13/20,0,0,1,0,0,0,0,10,CM,
571,1/2,0,5/2,1,0,1/20,19/10,1/4,0,0,5,0,0,0,0,2,CM,
571,1/2,0,1/2,9,0,1/28,3/14,317/28,0,0,1,4,0,0,0,14,CM,
571,1/2,0,1/2,9,0,1/28,11/14,285/28,0,0,1,4,0,0,0,14,CM,
571,1/2,0,1/2,1,0,1/28,13/14,141/28,0,0,1,2,0,0,0,14,CM,
571,1/2,0,11/2,1,0,1/44,83/22,7/4,0,0,11,0,0,0,0,2,CM,
571,1/2,0,1/2,19,0,1/44,7/22,589/44,0,0,1,16,0,0,0,22,CM,
571,1/2,0,1/2,11,0,1/44,1/2,45/44,0,0,1,0,0,0,0,22,CM,
571,1/2,0,1/2,19,0,1/44,15/22,357/44,0,0,1,16,0,0,0,22,CM,
571,1/2,0,1/2,11,0,1/44,1/2,197/44,0,0,1,0,0,0,0,22,CM,
571,1/2,0,1/2,1,0,1/18,7/9,119/18,0,0,1,2,0,0,0,9,CM,
571,1/2,0,1/2,16,0,1/42,4/21,719/42,0,0,1,11,0,0,0,21,CM,
571,1/2,0,1/2,1,0,1/66,25/33,965/66,0,0,1,2,0,0,0,33,CM,
571,1/2,0,1/2,19,0,1/66,4/33,1457/66,0,0,1,5,0,0,0,33,CM,
577,1,0,0,0,1/2,1/2,0,0,-1/2,-3/14,0,1/7,0,-1/7,1/2,-1/14,CM,7
577,1/2,0,0,1/2,0,1/14,1/2,2/7,0,0,1,0,0,0,0,1,CM,7
577,1/2,1/42,1/3,16/21,0,1/21,1/6,85/42,0,0,1/2,5/2,0,0,0,3,CM,7
577,1/2,1/42,1/3,2/21,0,1/21,1/6,113/42,0,0,1/2,1/2,0,0,0,3,CM,7
577,1/2,1/70,21/10,5/14,0,1/35,17/10,3/14,0,0,5/2,1/2,0,0,0,1,CM,7
577,1/2,1/70,3/10,207/70,0,1/35,1/10,29/70,0,0,1/2,1/2,0,0,0,5,CM,7
577,1/2,1/70,3/10,193/70,0,1/35,1/10,71/70,0,0,1/2,9/2,0,0,0,5,CM,7
577,1/2,1/98,5/14,655/98,0,1/49,3/14,85/98,0,0,1/2,11/2,0,0,0,7,CM,7
577,1/2,1/98,2/7,16/49,0,1/49,1/14,113/98,0,0,1/2,13/2,0,0,0,7,CM,7
577,1/2,1/98,1/14,333/98,0,1/49,1/7,333/49,0,0,1/2,5/2,0,0,0,7,CM,7
577,1/2,1/98,0,219/49,0,1/49,0,95/49,0,0,1/2,7/2,0,0,0,7,CM,7
577,1/2,1/154,3/22,389/154,0,1/77,3/11,389/77,0,0,1/2,13/2,0,0,0,11,CM,7
577,1/2,1/154,4/11,548/77,0,1/77,5/22,1191/154,0,0,1/2,13/2,0,0,0,11,CM,7
577,1/2,1/154,13/11,4/7,0,1/77,26/11,1/7,0,0,11/2,1/2,0,0,0,1,CM,7
577,1/2,1/154,5/22,1523/154,0,1/77,5/11,676/77,0,0,1/2,21/2,0,0,0,11,CM,7
577,1/2,1/154,3/11,289/77,0,1/77,1/22,1233/154,0,0,1/2,21/2,0,0,0,11,CM,7
577,1/2,0,0,1/2,0,1/28,5/4,1/7,0,0,2,0,0,0,0,1,CM,7
577,1/2,0,0,3/2,0,1/42,5/6,44/21,0,0,1,1,0,0,0,3,CM,7
577,1/2,0,0,3/2,0,1/42,1/6,58/21,0,0,1,1,0,0,0,3,CM,7
577,1/2,0,0,5/2,0,1/70,3/10,16/35,0,0,1,1,0,0,0,5,CM,7
577,1/2,0,0,1/2,0,1/70,29/10,6/7,0,0,5,0,0,0,0,1,CM,7
577,1/2,0,0,7/2,0,1/98,1/2,219/49,0,0,1,0,0,0,0,7,CM,7
577,1/2,0,0,7/2,0,1/98,1/14,338/49,0,0,1,5,0,0,0,7,CM,7
577,1/2,0,0,11/2,0,1/154,5/22,751/77,0,0,1,1,0,0,0,11,CM,7
577,1/2,1/126,5/18,263/126,0,1/63,1/18,967/126,0,0,1/2,11/2,0,0,0,9,CM,7
577,1/2,1/462,5/66,1523/462,0,1/231,5/33,1523/231,0,0,1/2,65/2,0,0,0,33,CM,7
587,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
587,1/2,0,1/2,1,0,1/4,1/2,3/4,0,0,1,0,0,0,0,2,CM,
587,1/2,0,1/2,0,0,1/6,0,7/6,0,0,1,0,0,0,0,3,CM,
587,1/2,0,3/2,0,0,1/6,8/3,1/2,0,0,3,0,0,0,0,1,CM,
587,1/2,0,1/2,2,0,1/10,3/5,21/10,0,0,1,4,0,0,0,5,CM,
587,1/2,0,1/2,4,0,1/14,1/7,61/14,0,0,1,1,0,0,0,7,CM,
587,1/2,0,1/2,0,0,1/14,0,1/14,0,0,1,0,0,0,0,7,CM,
587,1/2,0,7/2,0,0,1/14,24/7,1/2,0,0,7,0,0,0,0,1,CM,
587,1/2,0,1/2,7,0,1/22,9/11,159/22,0,0,1,3,0,0,0,11,CM,
587,1/2,0,1/2,9,0,1/22,8/11,191/22,0,0,1,7,0,0,0,11,CM,
587,1/2,0,1/2,5,0,1/22,10/11,141/22,0,0,1,10,0,0,0,11,CM,
587,1/2,0,1/2,3,0,1/8,3/4,11/8,0,0,1,2,0,0,0,4,CM,
587,1/2,0,1/2,3,0,1/12,1/2,11/12,0,0,1,0,0,0,0,6,CM,
587,1/2,0,3/2,1,0,1/12,17/6,1/4,0,0,3,0,0,0,0,2,CM,
587,1/2,0,1/2,3,0,1/12,1/2,43/12,0,0,1,0,0,0,0,6,CM,
587,1/2,0,1/2,3,0,1/20,7/10,91/20,0,0,1,6,0,0,0,10,CM,
587,1/2,0,1/2,3,0,1/20,3/10,179/20,0,0,1,6,0,0,0,10,CM,
587,1/2,0,7/2,1,0,1/28,25/14,5/4,0,0,7,0,0,0,0,2,CM,
587,1/2,0,1/2,7,0,1/28,1/2,99/28,0,0,1,0,0,0,0,14,CM,
587,1/2,0,1/2,3,0,1/28,13/14,131/28,0,0,1,6,0,0,0,14,CM,
587,1/2,0,1/2,7,0,1/28,1/2,195/28,0,0,1,0,0,0,0,14,CM,
587,1/2,0,1/2,15,0,1/44,9/22,83/44,0,0,1,8,0,0,0,22,CM,
587,1/2,0,1/2,7,0,1/44,9/22,643/44,0,0,1,14,0,0,0,22,CM,
587,1/2,0,1/2,5,0,1/44,1/22,563/44,0,0,1,10,0,0,0,22,CM,
587,1/2,0,1/2,5,0,1/44,21/22,603/44,0,0,1,10,0,0,0,22,CM,
587,1/2,0,3/2,7,0,1/84,13/6,65/28,0,0,3,0,0,0,0,14,CM,
587,1/2,0,1/2,0,0,1/18,0,79/18,0,0,1,0,0,0,0,9,CM,
587,1/2,0,1/2,12,0,1/30,1/5,421/30,0,0,1,9,0,0,0,15,CM,
587,1/2,0,3/2,5,0,1/42,62/21,87/14,0,0,3,3,0,0,0,7,CM,
587,1/2,0,3/2,0,0,1/42,5/3,33/14,0,0,3,0,0,0,0,7,CM,
587,1/2,0,21/2,0,0,1/42,269/21,1/2,0,0,21,0,0,0,0,1,CM,
587,1/2,0,3/2,6,0,1/66,8/33,17/22,0,0,3,1,0,0,0,11,CM,
593,1,0,0,0,1/2,1/2,0,0,1/2,1/6,1/2,1/6,-1/2,1/6,0,-1/3,CM,3
593,1/2,0,0,1/2,0,1/6,1/2,2/3,0,0,1,0,0,0,0,1,CM,3
593,1/2,1/18,1/3,2/9,0,1/9,1/6,53/18,0,0,1/2,1/2,0,0,0,3,CM,3
593,1/2,1/30,1/5,8/15,0,1/15,2/5,16/15,0,0,1/2,3/2,0,0,0,5,CM,3
593,1/2,1/42,0,134/21,0,1/21,0,121/21,0,0,1/2,7/2,0,0,0,7,CM,3
593,1/2,1/42,0,62/21,0,1/21,0,124/21,0,0,1/2,7/2,0,0,0,7,CM,3
593,1/2,1/66,10/11,1/3,0,1/33,20/11,2/3,0,0,11/2,1/2,0,0,0,1,CM,3
593,1/2,1/66,5/22,127/66,0,1/33,5/11,127/33,0,0,1/2,1/2,0,0,0,11,CM,3
593,1/2,1/66,5/22,115/66,0,1/33,5/11,115/33,0,0,1/2,21/2,0,0,0,11,CM,3
593,1/2,0,1,1/2,0,1/12,3/4,5/6,0,0,2,0,0,0,0,1,CM,3
593,1/2,0,0,3/2,0,1/18,1/2,14/9,0,0,1,0,0,0,0,3,CM,3
593,1/2,0,0,3/2,0,1/18,1/6,11/9,0,0,1,2,0,0,0,3,CM,3
593,1/2,0,0,5/2,0,1/30,7/10,68/15,0,0,1,3,0,0,0,5,CM,3
593,1/2,0,0,5/2,0,1/30,7/10,32/15,0,0,1,2,0,0,0,5,CM,3
593,1/2,0,0,1/2,0,1/30,41/10,1/3,0,0,5,0,0,0,0,1,CM,3
593,1/2,0,0,7/2,0,1/42,13/14,116/21,0,0,1,1,0,0,0,7,CM,3
593,1/2,0,0,7/2,0,1/42,1/2,62/21,0,0,1,0,0,0,0,7,CM,3
593,1/2,0,0,7/2,0,1/42,1/2,134/21,0,0,1,0,0,0,0,7,CM,3
593,1/2,0,0,7/2,0,1/42,1/14,101/21,0,0,1,1,0,0,0,7,CM,3
593,1/2,0,0,11/2,0,1/66,1/2,335/33,0,0,1,0,0,0,0,11,CM,3
593,1/2,0,0,11/2,0,1/66,1/2,149/33,0,0,1,0,0,0,0,11,CM,3
593,1/2,0,0,11/2,0,1/66,1/22,323/33,0,0,1,4,0,0,0,11,CM,3
593,1/2,1/54,4/9,173/27,0,1/27,7/18,17/54,0,0,1/2,7/2,0,0,0,9,CM,3
593,1/2,1/90,1/15,542/45,0,1/45,2/15,409/45,0,0,1/2,7/2,0,0,0,15,CM,3
593,1/2,1/90,1/15,83/45,0,1/45,2/15,166/45,0,0,1/2,13/2,0,0,0,15,CM,3
593,1/2,1/198,23/66,1147/198,0,1/99,13/66,1601/198,0,0,1/2,7/2,0,0,0,33,CM,3
593,1/2,1/150,6/25,803/75,0,1/75,12/25,1606/75,0,0,1/2,23/2,0,0,0,25,CM,3
593,1/2,1/150,1/25,233/75,0,1/75,2/25,466/75,0,0,1/2,3/2,0,0,0,25,CM,3
593,1/2,1/210,11/35,1823/105,0,1/105,9/70,2777/210,0,0,1/2,43/2,0,0,0,35,CM,3
593,1/2,1/330,27/110,16891/330,0,1/165,27/55,7816/165,0,0,1/2,23/2,0,0,0,55,CM,3
593,1/2,1/330,27/110,12391/330,0,1/165,27/55,3316/165,0,0,1/2,43/2,0,0,0,55,CM,3
599,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
599,1/2,0,1/2,0,0,1/4,0,5/4,0,0,1,0,0,0,0,2,CM,
599,1/2,0,1/2,0,0,1/6,0,5/6,0,0,1,0,0,0,0,3,CM,
599,1/2,0,3/2,0,0,1/6,7/3,1/2,0,0,3,0,0,0,0,1,CM,
599,1/2,0,1/2,0,0,1/10,0,49/10,0,0,1,0,0,0,0,5,CM,
599,1/2,0,5/2,0,0,1/10,13/5,1/2,0,0,5,0,0,0,0,1,CM,
599,1/2,0,1/2,1,0,1/14,1/7,55/14,0,0,1,2,0,0,0,7,CM,
599,1/2,0,1/2,2,0,1/14,4/7,5/14,0,0,1,4,0,0,0,7,CM,
599,1/2,0,1/2,6,0,1/22,5/11,1/22,0,0,1,1,0,0,0,11,CM,
599,1/2,0,1/2,9,0,1/22,7/11,53/22,0,0,1,7,0,0,0,11,CM,
599,1/2,0,1/2,4,0,1/22,1/11,63/22,0,0,1,8,0,0,0,11,CM,
599,1/2,0,1/2,2,0,1/8,1/2,29/8,0,0,1,0,0,0,0,4,CM,
599,1/2,0,1/2,0,0,1/8,0,5/8,0,0,1,0,0,0,0,4,CM,
599,1/2,0,3/2,0,0,1/12,8/3,7/4,0,0,3,0,0,0,0,2,CM,
599,1/2,0,1/2,0,0,1/12,0,13/12,0,0,1,0,0,0,0,6,CM,
599,1/2,0,1/2,0,0,1/12,0,5/12,0,0,1,0,0,0,0,6,CM,
599,1/2,0,5/2,0,0,1/20,19/5,1/4,0,0,5,0,0,0,0,2,CM,
599,1/2,0,1/2,0,0,1/20,0,101/20,0,0,1,0,0,0,0,10,CM,
599,1/2,0,1/2,0,0,1/20,0,149/20,0,0,1,0,0,0,0,10,CM,
599,1/2,0,1/2,12,0,1/28,2/7,93/28,0,0,1,10,0,0,0,14,CM,
599,1/2,0,1/2,6,0,1/28,4/7,309/28,0,0,1,12,0,0,0,14,CM,
599,1/2,0,1/2,8,0,1/28,4/7,181/28,0,0,1,2,0,0,0,14,CM,
599,1/2,0,1/2,2,0,1/44,2/11,141/44,0,0,1,4,0,0,0,22,CM,
599,1/2,0,1/2,16,0,1/44,3/11,221/44,0,0,1,10,0,0,0,22,CM,
599,1/2,0,1/2,4,0,1/44,6/11,965/44,0,0,1,8,0,0,0,22,CM,
599,1/2,0,1/2,0,0,1/18,0,23/18,0,0,1,0,0,0,0,9,CM,
599,1/2,0,1/2,0,0,1/30,0,401/30,0,0,1,0,0,0,0,15,CM,
599,1/2,0,1/2,9,0,1/42,6/7,509/42,0,0,1,18,0,0,0,21,CM,
599,1/2,0,1/2,15,0,1/66,7/11,1499/66,0,0,1,30,0,0,0,33,CM,
599,1/2,0,9/2,0,0,1/18,52/9,1/2,0,0,9,0,0,0,0,1,CM,
599,1/2,0,3/2,1,0,1/18,7/9,17/6,0,0,3,2,0,0,0,3,CM,
599,1/2,0,15/2,0,0,1/30,187/15,1/2,0,0,15,0,0,0,0,1,CM,
